 day;shift;worker_name;machine_name;machine_number;part_name_number;operation_number;adjustment_data;work_time;pause_time;processed_quantity;material_error;labor_error;efficiency
4;3;id20;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;90;0;0;75,63
4;2;id6;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;5;0;71;0;0;64,55
4;1;id22;VICTOR 26.1;60;EPMV;10;13;5,5;1,5;65;0;0;90,91
4;1;id23;VICTOR 26.2;65;HOUSING;10;17;7;0;110;3;1;92,44
4;2;id24;VICTOR 26.2;65;HOUSING;10;17;7;0;87;0;3;73,11
4;3;id25;VICTOR 26.2;65;HOUSING;10;17;7;0;118;0;0;99,16
4;2;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;125;4;0;81,17
4;1;id30;YCM APC.2;75;038 HOOD;60-70;40;6;0;388;0;0;161,67
4;1;id27;YCM TC-16LB.1;108;STATOR;10;20;6;1;108;0;0;90,00
20;1;id17;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;7;0;126;2;2;81,82
20;2;id26;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;7;0;130;0;0;84,42
20;3;id25;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;7;0;125;0;0;81,17
21;1;id17;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;146;0;0;94,81
21;2;id26;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;145;0;0;94,16
4;2;id6;YCM TC-16LB.1;108;STATOR;10;20;2;0;26;0;0;65,00
4;1;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;6;1;64;0;0;106,67
4;2;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;2,5;1;24;0;0;96,00
4;1;id21;STAMA MC335.2;102;HOUSING;30-40;19;6,5;0,5;106;0;0;85,83
4;1;id30;TMC700.1;64;HOUSING;70;50;1;0;100;0;0;200,00
4;1;id31;DNR TTH8.2;114;HOUSING;20;25;7;0;150;0;0;85,71
4;2;id32;DNR TTH8.2;114;HOUSING;20;25;7;0;241;0;0;137,71
4;3;id5;DNR TTH8.2;114;HOUSING;20;25;7;0;150;0;0;85,71
4;1;id33;DNR TTH8.3;115;DECKEL;10;20;7;0;130;1;0;92,86
4;2;id34;DNR TTH8.3;115;DECKEL;10;20;7;0;140;0;0;100,00
4;3;id37;DNR TTH8.3;115;DECKEL;10;20;5;2;70;0;0;70,00
4;3;id9;YCM NSV 106A.1;106;038 HOOD;40;10;2;0;18;0;0;90,00
4;1;id39;YCM NMW 106A.2;105;HEMA 867;10;9;7;0;61;0;0;96,83
4;2;id8;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;3,5;0;100;0;0;114,29
4;1;id41;YCM NSV 106A.2;109;HOUSING;50;13,5;6,5;0,5;92;0;0;104,84
4;2;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;0,75;0,25;12;0;0;118,52
4;3;id13;YCM NSV 106A.3;110;038 HOOD;20-30;7;2;0;18;0;0;128,57
4;1;id29;DNR 1060.1;116;HOUSING;40;16;7;0;108;0;0;96,43
4;2;id11;DNR 1060.1;116;HOUSING;50;13,5;6;0;84;0;0;103,70
4;1;id42;DNR 1060.2;117;HOUSING;30;16;1;0;18;0;0;112,50
4;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;5,5;1,5;95;0;0;107,95
4;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;115;0;0;110,58
6;1;id2;AKIRA SEIKI 3.2;87;037 HOUSING;30;12;6;0,5;60;0;0;83,33
20;1;id33;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;0;0;84,03
21;1;id33;HYUNDAI SKT L3;84;HOUSING;10;17;3,5;0;42;0;0;70,59
21;2;id24;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;0;0;84,03
6;2;id2;AKIRA SEIKI 3.2;87;037 HOUSING;30;12;1,5;0;16;0;0;88,89
6;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;0,5;0,5;10;0;0;125,00
6;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;5;0,5;95;0;0;118,75
6;2;id16;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;7;0;175;0;0;100,00
6;1;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
6;2;id4;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;168;0;0;92,31
6;1;id17;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;6,75;0,25;120;1;1;80,81
6;2;id26;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;6,75;0,25;130;0;0;87,54
6;1;id24;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;78;0;0;65,55
6;3;id33;HYUNDAI SKT L3;84;HOUSING;10;17;2;0;27;0;0;79,41
6;2;id27;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;7;0;103;0;2;66,88
6;3;id33;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;3;0;60;0;0;90,91
6;1;id44;VICTOR 26.2;65;HOUSING;10;17;5,75;1,25;106;0;0;108,44
6;2;id25;VICTOR 26.2;65;HOUSING;10;17;7;0;116;1;0;97,48
6;3;id23;VICTOR 26.2;65;HOUSING;10;17;7;0;107;0;0;89,92
6;1;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;135;1;0;87,66
6;1;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;5;1;48;0;0;96,00
6;2;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;6;1;56;0;0;93,33
6;3;id4;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;5;0;44;0;0;88,00
6;3;id33;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;2;0;20;0;0;100,00
6;1;id21;STAMA MC335.2;102;HOUSING;30-40;19;6,5;0,5;96;0;0;77,73
6;1;id30;TMC700.1;64;HOUSING;70;50;7;0;666;0;0;190,29
6;1;id12;TAKSAN TMC700.3;80;HOUSING;60;56;7;0;342;0;0;87,24
6;2;id9;TAKSAN TMC700.3;80;HOUSING;60;56;6,5;0,5;486;0;0;133,52
6;3;id4;TAKSAN TMC700.3;80;HOUSING;60;56;2;0;70;0;0;62,50
6;2;id5;DNR TTH8.2;114;HOUSING;20;25;7;0;160;0;0;91,43
6;3;id31;DNR TTH8.2;114;HOUSING;20;25;7;0;150;0;0;85,71
6;2;id37;DNR TTH8.3;115;DECKEL;10;20;1;0;15;0;0;75,00
6;3;id20;DNR TTH8.3;115;DECKEL;10;20;7;0;125;0;0;89,29
6;1;id15;YCM NSV 106A.1;106;038 HOOD;40;10;6;0;62;0;0;103,33
6;1;id39;YCM NMW 106A.2;105;HEMA 867;10;9;7;0;60;0;0;95,24
6;2;id13;YCM NMW 106A.2;105;HEMA 867;10;9;0,75;0,25;7;0;0;103,70
6;2;id37;YCM NMW 106A.2;105;HEMA 867;10;9;6;0;47;0;0;87,04
6;1;id8;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;1;0;19;0;0;76,00
6;1;id40;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;4;2;91;0;0;91,00
6;1;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
6;2;id41;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
6;1;id14;DNR 1060.2;117;HOUSING;30;16;7;0;132;0;0;117,86
21;3;id45;VICTOR 26.1;60;EPMT;10;17;7;0;100;0;0;84,03
6;3;id42;DNR 1060.2;117;HOUSING;30;16;7;0;126;0;0;112,50
6;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;0,5;0,5;10;0;0;125,00
6;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;5;0,5;95;0;0;118,75
7;1;id39;AKIRA SEIKI 3.1;86;748 ELB;50;7;1,5;0;11;0;0;104,76
7;1;id2;AKIRA SEIKI 3.2;87;037 HOUSING;30;12;7;0;70;0;0;83,33
7;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;125;0;0;111,61
7;2;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;115;0;0;110,58
7;3;id22;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;115;0;0;102,68
7;2;id4;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;176;0;0;96,70
7;3;id33;HYUNDAI HD2200;98;EPMT;20;20;7;0;120;0;0;85,71
7;2;id27;HYUNDAI SKT L1;82;WATT MOTOR;10;3;7;0;21;0;0;100,00
7;1;id17;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;5,5;1,5;90;0;0;74,38
7;2;id26;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;7;0;130;0;0;84,42
7;1;id44;HYUNDAI SKT L3;84;HOUSING;10;17;2,5;0;45;1;1;105,88
7;2;id25;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;106;0;0;89,08
7;2;id37;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;7;0;113;0;2;73,38
7;1;id44;VICTOR 26.2;65;HOUSING;10;17;4,5;0;84;0;0;109,80
7;3;id23;VICTOR 26.2;65;HOUSING;10;17;7;0;104;0;0;87,39
7;1;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;125;0;0;81,17
7;1;id18;YCM TC-16LB.1;108;STATOR;10;20;5,5;1,5;82;0;0;74,55
7;1;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
7;2;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;6,5;0,5;60;0;0;92,31
7;3;id42;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
7;1;id21;STAMA MC335.2;102;HOUSING;30-40;19;6;1;84;0;0;73,68
7;2;id20;HYUNDAI L210A.2;104;038 HOOD;10;8;7;0;47;1;2;83,93
7;1;id32;DNR TTH8.2;114;HOUSING;20;25;7;0;210;0;0;120,00
7;2;id5;DNR TTH8.2;114;HOUSING;20;25;7;0;160;0;0;91,43
21;1;id23;VICTOR 26.2;65;HOUSING;10;17;7;0;110;0;1;92,44
21;3;id46;VICTOR 26.2;65;HOUSING;10;17;7;0;102;0;0;85,71
7;3;id31;DNR TTH8.2;114;HOUSING;20;25;7;0;163;0;0;93,14
7;1;id34;DNR TTH8.3;115;DECKEL;10;20;7;0;140;0;0;100,00
7;3;id20;DNR TTH8.3;115;DECKEL;10;20;7;0;134;0;0;95,71
20;1;id31;VİCTOR P20.1;97;HOUSING;20;25;7;0;127;0;0;72,57
21;1;id31;VİCTOR P20.1;97;HOUSING;20;25;7;0;145;0;0;82,86
21;3;id47;VİCTOR P20.1;97;HOUSING;20;25;7;0;140;0;2;80,00
7;2;id13;YCM NSV 106A.1;106;038 HOOD;40;10;3;0;30;0;0;100,00
7;1;id39;YCM NMW 106A.2;105;HEMA 867;10;9;4,5;1;40;0;0;98,77
7;2;id16;YCM NMW 106A.2;105;037 HOUSING;50;13;7;0;74;0;0;81,32
7;3;id5;YCM NMW 106A.2;105;037 HOUSING;50;13;7;0;70;0;0;76,92
7;1;id40;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;7;0;108;0;0;61,71
7;1;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
7;2;id41;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;94;0;0;99,47
7;3;id29;YCM NSV 106A.3;110;038 HOOD;20-30;7;6,5;0,5;36;0;0;79,12
7;1;id3;DNR 1060.1;116;HOUSING;50;13,5;7;0;82;0;0;86,77
20;1;id48;VICTOR 20.2;67;STATOR;20;30;7;0;150;0;0;71,43
21;1;id48;VICTOR 20.2;67;STATOR;20;30;7;0;175;0;0;83,33
7;1;id14;DNR 1060.2;117;260 HOUSING;30;14;5;2;72;0;0;102,86
21;2;id43;VICTOR 20.3;95;SUPPORT PLATE;20;22;7;0;132;0;15;85,71
7;2;id2;DNR 1060.2;117;260 HOUSING;30;14;6,5;0,5;83;0;1;91,21
7;1;id39;AKIRA SEIKI 3.1;86;748 ELB;50;7;1,5;0;11;0;0;104,76
7;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;125;0;0;111,61
7;2;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;115;0;0;110,58
7;3;id22;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;115;0;0;102,68
8;1;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;120;0;0;107,14
8;2;id16;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;7;0;171;0;0;97,71
8;1;id36;YCM 56 A.1;68;037 HOUSING;70;25;3;0;75;0;0;100,00
8;2;id4;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;208;0;0;114,29
8;1;id44;HYUNDAI HD2200;98;EPMV;20;20;7;0;118;0;0;84,29
8;3;id5;HYUNDAI HD2200;98;EPMV;20;20;2;0;35;0;0;87,50
8;2;id27;HYUNDAI SKT L1;82;WATT MOTOR;10;3;7;0;20;0;0;95,24
20;1;id21;DNR TTH8.1;112;FLANGE 840;20;18;4;0;60;0;0;83,33
21;2;id5;DNR TTH8.1;112;DISTRIBUTING PLATE;20;22;7;0;130;0;0;84,42
8;1;id17;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;7;0;130;2;0;84,42
8;2;id26;HYUNDAI SKT L2;83;DISTRIBUTING PLATE;10;22;6,5;0,5;125;0;0;87,41
8;1;id24;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;0;0;84,03
8;2;id25;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;108;0;0;90,76
8;3;id31;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;90;0;0;75,63
8;2;id37;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;7;0;130;2;0;84,42
8;3;id23;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;7;0;130;0;0;84,42
8;1;id46;VICTOR 26.1;60;EPMV;10;13;1;0;14;0;0;107,69
8;3;id5;VICTOR 26.1;60;EPMV;10;13;5;0;50;0;0;76,92
8;1;id49;VICTOR 20.2;67;STATOR;20;30;6;0;183;0;0;101,67
8;1;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;115;0;0;74,68
8;1;id36;YCM APC.2;75;038 HOOD;60-70;40;4;0;176;0;0;110,00
8;1;id18;YCM TC-16LB.1;108;STATOR;10;20;7;0;106;1;0;75,71
8;1;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
8;2;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
8;3;id42;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;72;0;0;102,86
8;1;id21;STAMA MC335.2;102;HOUSING;30-40;19;6,5;0,5;96;0;0;77,73
8;1;id30;TMC700.1;64;HOUSING;70;50;3,5;0;300;0;0;171,43
8;1;id30;TAKSAN TMC700.3;80;HOUSING;60;56;3,5;0;310;0;0;158,16
8;1;id50;DNR TTH8.2;114;HOUSING;20;25;5;2;106;0;0;84,80
8;1;id34;DNR TTH8.3;115;DECKEL;10;20;7;0;140;0;0;100,00
20;1;id18;YCM TC-16LB.1;108;STATOR;10;20;7;0;120;0;0;85,71
20;3;id45;YCM TC-16LB.1;108;STATOR;10;20;6,5;0,5;120;0;0;92,31
8;3;id20;DNR TTH8.3;115;DECKEL;10;20;7;0;130;0;0;92,86
8;3;id33;YCM NSV 106A.1;106;038 HOOD;40;10;7;0;60;0;0;85,71
8;1;id40;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;7;0;127;0;0;72,57
8;2;id51;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;7;0;165;0;0;94,29
